repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
3,6,2,20|4|3|10|9|7|20|20,0,39,35,TRUE,0.207076476849726,0.341725568396522,0.456180326001947,105.987557034085,262.662858450413
3,6,3,20|8|17|11|14|7|13|16,0,47,19,TRUE,0.286953559528726,0.327030519632002,0.242128774972322,106.142154054842,262.662858450413
3,6,4,18|14|18|8|5|5|18|17,0,74,16,TRUE,0.156855974695645,0.401922010226796,0.307799915464905,106.501714589424,262.662858450413
3,6,5,20|7|9|13|18|16|14|19,0,18,48,TRUE,0.191988060605602,0.427617866415233,0.146875282294272,106.531914281178,262.662858450413
3,6,6,19|9|9|12|9|14|7|20,0,18,59,TRUE,0.192894579308061,0.466359327160759,0.376624926718331,106.574341535833,262.662858450413
3,6,7,20|5|13|5|14|16|18|19,0,17,60,TRUE,0.230230779278731,0.444209259991874,0.139052613495621,106.61121569854,262.662858450413
3,6,8,20|6|13|14|10|9|14|19,0,17,54,TRUE,0.152056266433341,0.441406925508727,0.371384327507108,106.702856679388,262.662858450413
3,6,9,20|5|9|5|9|7|5|20,0,42,66,TRUE,0.442358153659532,0.292852610088538,0.449619649319183,106.84342751473,262.662858450413
3,6,10,20|4|5|15|9|10|8|18,0,19,41,TRUE,0.455418803388842,0.424960103806038,0.38567909600616,107.155453565011,262.662858450413
19,6,1,20|10|13|5|11|16|19|17,0,19,37,TRUE,0.293981565711693,0.323761559941005,0.241411658182251,105.532647311637,252.701164046923
19,6,2,20|10|7|8|17|8|17|18,0,17,33,TRUE,0.299298531972716,0.278491695066495,0.371250580710219,105.843983479809,252.701164046923
19,6,3,20|4|11|17|17|15|10|18,0,17,47,TRUE,0.244177721112814,0.287478168436885,0.206875683783003,105.889698003744,252.701164046923
19,6,4,20|6|17|12|11|7|10|17,0,18,35,TRUE,0.269046398004837,0.312788791770675,0.163863108576697,106.069025849924,252.701164046923
19,6,5,20|6|3|6|10|14|6|19,0,17,55,TRUE,0.451647309103699,0.260884882756109,0.162824649934086,106.134241069719,252.701164046923
19,6,6,20|10|18|7|11|10|13|17,0,32,71,TRUE,0.25082773522777,0.349315991385838,0.157330947480783,106.635495892026,252.701164046923
19,6,7,20|8|17|11|14|7|13|16,0,47,19,TRUE,0.286953559528726,0.327030519632002,0.242128774972322,106.955489195381,252.701164046923
19,6,8,18|14|18|8|5|5|18|17,0,74,16,TRUE,0.156855974695645,0.401922010226796,0.307799915464905,107.139131136857,252.701164046923
19,6,9,20|2|5|9|17|16|5|17,0,27,19,TRUE,0.243859786410727,0.395165329206132,0.311017674329942,107.258775630836,252.701164046923
19,6,10,20|2|4|12|19|6|12|19,0,25,18,TRUE,0.282707412433811,0.482140942296634,0.469698979663663,107.377922933138,252.701164046923
13,6,1,16|2|5|12|17|16|6|19,0,21,70,TRUE,0.313172027414866,0.421932428800177,0.376964164514037,105.617468544507,252.721362916629
13,6,2,14|2|8|11|17|10|6|19,0,17,80,TRUE,0.175464034543341,0.251697052249525,0.290556666421826,105.757501986973,252.721362916629
