repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
1,8,1,18|12,2,47,65,TRUE,0.289924103802898,0.294290260217773,0.280299059692253,103.576398292609,185.279875000318
1,8,2,18|20,1,62,6,TRUE,0.364754191909263,0.217370990451053,0.32935409738578,103.824214538379,185.279875000318
1,8,3,14|20,1,65,6,TRUE,0.344414314420824,0.298173666176196,0.264873705903896,104.492517905268,185.279875000318
1,8,4,14|10,1,57,7,TRUE,0.351086269030666,0.238935838457628,0.378011324400633,105.147061639025,185.279875000318
1,8,5,14|20,1,62,6,TRUE,0.413181340026467,0.294332978192315,0.266293985733681,105.552431666039,185.279875000318
1,8,6,15|18,2,63,34,TRUE,0.188501453746317,0.225376677699387,0.379871074363796,105.776242802551,185.279875000318
1,8,7,11|18,2,61,31,TRUE,0.2868327956014,0.115803916866823,0.290238553732629,105.872835040007,185.279875000318
1,8,8,17|20,0,44,7,TRUE,0.369491709548877,0.26900168192159,0.39259268916212,107.979725404154,185.279875000318
1,8,9,18|17,0,44,7,TRUE,0.390423988028598,0.224479432228477,0.394396263487818,108.2102523778,185.279875000318
1,8,10,17|20,1,5,30,TRUE,0.263107041619309,0.353818635687367,0.276880672305776,108.665635327511,185.279875000318
3,8,1,18|15,1,64,4,TRUE,0.12414928294874,0.242823800579912,0.275668351867702,101.495750955401,167.048002715906
3,8,2,17|20,1,64,4,TRUE,0.166207441846855,0.242522948003406,0.293316261382557,101.6615456749,167.048002715906
3,8,3,18|12,2,47,65,TRUE,0.289924103802898,0.294290260217773,0.280299059692253,102.344818108504,167.048002715906
3,8,4,18|18,1,67,4,TRUE,0.160140158021168,0.331407892846593,0.313264279537159,102.54364782962,167.048002715906
3,8,5,18|20,1,65,4,TRUE,0.393348958819176,0.334207172607616,0.212781595550837,103.889508894474,167.048002715906
3,8,6,16|20,1,63,4,TRUE,0.138523099029754,0.350978276828327,0.2530328408749,104.292736073921,167.048002715906
3,8,7,14|20,1,66,5,TRUE,0.376539377632395,0.378334094050545,0.32411917672058,104.621665514194,167.048002715906
3,8,8,15|18,2,63,34,TRUE,0.188501453746317,0.225376677699387,0.379871074363796,105.230861334784,167.048002715906
3,8,9,14|16,2,15,44,FALSE,0.199749680515828,0.120350668877578,0.163003965562282,109.255983134002,167.048002715906
3,8,10,17|20,0,61,5,TRUE,0.42137916759996,0.271019115881427,0.324322738876782,109.595737898765,167.048002715906
14,8,1,18|12,2,47,65,TRUE,0.289924103802898,0.294290260217773,0.280299059692253,103.654989972206,203.226665918032
14,8,2,18|17,1,68,6,TRUE,0.362513072208938,0.258749828068728,0.38239768075503,103.784708511011,203.226665918032
