repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
20,1,4,20|7|13|17|8|5|13|11|2|11|7|6|15|6|3|18|9|20|11|3|16|4|5|20|4|2|10|14|17,2,57,46,TRUE,0.101060089001354,0.466169480824869,0.454682431998016,106.230499816563,262.741445016861
20,1,5,14|6|15|8|18|6|14|7|5|5|15|10|8|15|12|12|4|13|8|11|7|8|11|7|7|8|3|12|8,0,62,53,TRUE,0.371817819444639,0.331718776903453,0.497274721318162,106.350046731389,262.741445016861
20,1,6,20|8|16|9|15|10|14|9|15|18|9|13|17|14|17|11|2|18|10|19|15|16|15|10|17|12|14|12|10,0,34,59,TRUE,0.107472927543206,0.405688841432273,0.351270219278297,106.368584325448,262.741445016861
20,1,7,6|12|9|5|12|18|13|11|10|8|3|2|20|5|2|11|12|4|13|6|9|18|4|2|5|4|17|7|10,0,31,72,TRUE,0.3677675312178,0.419340254478286,0.181404341869186,106.480020851485,262.741445016861
20,1,8,20|3|14|17|8|10|12|9|9|10|16|15|12|14|13|15|2|10|15|17|5|8|8|2|15|18|4|17|6,2,66,38,TRUE,0.439170147961057,0.320434467799108,0.151132881321246,106.48838221572,262.741445016861
20,1,9,19|3|16|14|3|9|12|7|7|9|10|6|15|17|16|7|8|16|15|6|18|15|11|5|7|13|3|7|17,0,49,37,TRUE,0.412957540832612,0.295943047812937,0.494742605716872,106.549803062416,262.741445016861
20,1,10,15|5|17|5|11|20|14|13|5|6|19|20|2|19|2|3|13|5|12|2|7|19|7|15|16|17|14|16|7,2,69,48,FALSE,0.176155342976563,0.124054469638375,0.214164385446606,106.674803153632,262.741445016861
13,1,1,19|8|12|12|5|16|9|10|8|11|20|14|7|15|8|14|6|13|11|15|6|16|4|5|8|11|20|9|8,2,36,43,TRUE,0.197176023962028,0.188926948559108,0.478845143400314,107.499723061892,266.720406703154
13,1,2,11|12|3|5|17|6|9|19|5|5|19|20|19|8|15|3|12|15|12|12|19|14|11|20|16|2|19|20|3,0,36,64,TRUE,0.476178923118601,0.199356738969477,0.156809158216412,108.745509832589,266.720406703154
13,1,3,18|5|13|5|10|18|10|15|3|10|6|12|5|15|19|6|2|12|11|6|5|18|15|18|18|8|9|9|16,0,48,68,TRUE,0.424621125885316,0.311980094383103,0.497047916026015,109.18169559476,266.720406703154
13,1,4,20|3|14|17|8|10|12|9|9|10|16|15|12|14|13|15|2|10|15|17|5|8|8|2|15|18|4|17|6,2,66,38,TRUE,0.439170147961057,0.320434467799108,0.151132881321246,109.199856700998,266.720406703154
13,1,5,12|11|16|8|18|17|7|15|3|20|6|11|5|7|4|19|7|18|13|3|3|17|3|7|2|19|2|8|3,2,52,78,TRUE,0.383373896873996,0.102330844858403,0.295944169434693,109.315605469481,266.720406703154
13,1,6,15|5|14|9|8|14|17|3|5|9|7|14|10|18|14|13|17|16|6|8|10|8|6|19|7|14|10|5|6,0,31,66,TRUE,0.406915524568952,0.248560213390091,0.447355633691445,109.386728159234,266.720406703154
13,1,7,16|14|9|16|16|7|12|20|9|3|6|16|2|15|13|3|14|3|2|5|13|8|18|8|9|7|10|17|10,0,38,47,TRUE,0.46712099948512,0.193980200950326,0.138196663177432,109.438454825528,266.720406703154
13,1,8,18|7|17|7|8|8|6|20|2|9|9|17|8|13|15|7|15|15|14|3|10|14|7|7|7|13|17|4|4,0,40,42,TRUE,0.125558193500112,0.109383383440572,0.192662375472754,109.971489448981,266.720406703154
13,1,9,16|12|20|17|6|15|10|15|15|12|11|16|7|17|11|5|2|16|14|7|12|12|17|18|6|4|4|10|7,0,45,64,TRUE,0.263154249314856,0.444520853798786,0.24701186854238,110.296813773139,266.720406703154
13,1,10,6|5|17|14|18|18|4|18|10|18|17|19|9|16|10|13|19|4|7|20|19|3|18|10|17|19|15|13|13,2,77,60,TRUE,0.464016985956631,0.335285360223174,0.240037268291538,110.303596783438,266.720406703154
8,1,1,17|6|20|18|9|5|18|12|9|11|13|5|4|4|18|13|6|5|17|16|10|6|13|13|5|8|18|10|13,0,39,45,TRUE,0.324917224352248,0.415047295570063,0.229495909092172,107.580172026971,269.435085550944
