repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
16,2,8,17|9|8|10|13|12|12|10|11|14|10|6|14|13|9|14|9|4|7,2,46,45,TRUE,0.32932337198693,0.296100462419697,0.387512572233279,175.109103327897,86.0833942333857
16,2,9,19|16|20|9|15|5|14|19|6|15|5|17|20|18|5|19|13|4|12,0,75,70,TRUE,0.314608515761434,0.157711799030837,0.374798306839791,175.197924048395,86.0833942333857
16,2,10,10|8|2|15|12|11|11|8|14|16|6|16|11|10|19|6|16|2|8,2,55,46,TRUE,0.432760753742276,0.299679244226382,0.199436407384928,176.340857463465,86.0833942333857
15,3,1,19|2|16|13|18|3|6|9|18|12|18|10|17|18|2|15|7|18|19,2,77,60,FALSE,0.366693904155937,0.152855937453345,0.132743834432823,169.568689866867,74.5196882327398
15,3,2,20|2|20|11|19|9|12|4|5|13|5|7|15|8|2|8|15|16|14,2,58,73,FALSE,0.379530566750999,0.214683275756403,0.200924783204935,171.392510807868,74.5196882327398
15,3,3,20|2|16|10|13|19|7|7|20|2|9|17|19|16|8|7|15|7|18,2,70,33,FALSE,0.134191523899906,0.161088420069902,0.480978823723082,174.874848798755,74.5196882327398
15,3,4,19|2|18|7|13|6|14|13|13|14|3|13|19|2|20|11|5|4|14,2,77,66,FALSE,0.204076718611505,0.157326287233636,0.241735415759078,176.749474025208,74.5196882327398
15,3,5,20|2|8|7|11|20|3|13|18|18|5|8|9|10|4|8|13|3|16,2,73,33,FALSE,0.169999352674205,0.147558158552018,0.1873256108856,177.484190972596,74.5196882327398
15,3,6,19|9|20|10|13|15|16|3|18|13|19|14|13|19|6|4|13|6|17,2,75,62,FALSE,0.195116263221228,0.195639996876564,0.301621543203446,178.093711833243,74.5196882327398
15,3,7,10|13|13|9|11|19|12|17|12|18|12|13|4|9|8|18|12|9|10,2,46,37,FALSE,0.238683352888956,0.240579247488103,0.240009151810171,179.182281035167,74.5196882327398
15,3,8,12|19|18|19|5|7|15|20|19|15|8|11|5|8|16|13|17|12|14,2,52,78,FALSE,0.198373082967009,0.251498305862949,0.407450197722154,180.030132348138,74.5196882327398
15,3,9,17|13|4|6|2|12|3|7|7|11|3|4|6|10|18|12|19|6|15,1,59,35,FALSE,0.205998938808289,0.14690803833073,0.267747494492393,180.989287473031,74.5196882327398
15,3,10,18|2|18|8|3|15|14|4|20|17|8|12|18|8|14|11|20|19|4,2,57,71,FALSE,0.189723976629858,0.197344941236616,0.362979000416369,181.443303961779,74.5196882327398
6,3,1,19|2|16|13|18|3|6|9|18|12|18|10|17|18|2|15|7|18|19,2,77,60,FALSE,0.366693904155937,0.152855937453345,0.132743834432823,158.259895093287,84.9063220024109
